,2*spin,3*charge,PythiaId,id,lifetime*c/mm,mass/GeV,max_Dm/GeV,name,width/GeV
0,8,3,0,329,0.0000000e+00,2.0450000e+00,2.0000000e-01,K_4*+,1.9800000e-01
1,2,0,110553,110553,0.0000000e+00,1.0255000e+01,0.0000000e+00,h_b(2P),0.0000000e+00
2,1,-1,5,5,0.0000000e+00,5.0000000e+00,0.0000000e+00,b,0.0000000e+00
3,1,0,-12,-12,0.0000000e+00,0.0000000e+00,0.0000000e+00,anti-nu_e,0.0000000e+00
4,4,0,425,425,0.0000000e+00,2.4626000e+00,3.0900000e-01,D_2*0,4.9000000e-02
5,2,0,553,553,0.0000000e+00,9.4603000e+00,5.0000000e-04,Upsilon,5.4020000e-05
6,2,0,-20513,-20513,0.0000000e+00,5.7570000e+00,2.0000000e-01,anti-B'_10,2.5027080e-01
7,0,0,-311,-311,0.0000000e+00,4.9761400e-01,0.0000000e+00,anti-K0,0.0000000e+00
8,1,0,0,13122,0.0000000e+00,1.4051000e+00,7.0000000e-02,Lambda(1405)0,5.0500000e-02
9,2,3,323,323,0.0000000e+00,8.9166000e-01,2.3000000e-01,K*+,5.0800000e-02
10,1,3,-11,-11,0.0000000e+00,5.1099893e-04,0.0000000e+00,e+,0.0000000e+00
11,0,0,0,510,4.5718350e-01,5.2795300e+00,0.0000000e+00,B0H,0.0000000e+00
12,4,-3,-325,-325,0.0000000e+00,1.4256000e+00,7.0000000e-01,K_2*-,9.8500000e-02
13,2,0,20513,20513,0.0000000e+00,5.7570000e+00,2.0000000e-01,B'_10,2.5027080e-01
14,0,-3,-321,-321,3.7114306e+03,4.9367700e-01,0.0000000e+00,K-,0.0000000e+00
15,4,0,110555,110555,0.0000000e+00,1.0441000e+01,0.0000000e+00,eta_b2(2D),0.0000000e+00
16,2,0,0,100313,0.0000000e+00,1.4140000e+00,6.0000000e-01,K'*0,2.3200000e-01
17,2,0,10533,10533,0.0000000e+00,5.8310000e+00,1.0000000e-02,B_s10,3.9891649e-02
18,0,0,310,310,2.6840419e+01,4.9761400e-01,0.0000000e+00,K_S0,0.0000000e+00
19,2,0,130553,130553,0.0000000e+00,1.0434900e+01,0.0000000e+00,Upsilon_1(2D),0.0000000e+00
20,0,-3,-10521,-10521,0.0000000e+00,5.7380000e+00,2.0000000e-01,B_0*-,1.4993444e-01
21,2,0,20423,20423,0.0000000e+00,2.4450000e+00,3.0000000e-01,D'_10,2.5027080e-01
22,0,3,521,521,4.9106005e-01,5.2792600e+00,0.0000000e+00,B+,0.0000000e+00
23,0,3,10521,10521,0.0000000e+00,5.7380000e+00,2.0000000e-01,B_0*+,1.4993444e-01
24,3,-3,5114,5114,0.0000000e+00,5.8351000e+00,0.0000000e+00,Sigma_b*-,7.5000000e-03
25,1,0,0,-13122,0.0000000e+00,1.4051000e+00,7.0000000e-02,anti-Lambda(1405)0,5.0500000e-02
26,2,0,-10533,-10533,0.0000000e+00,5.8310000e+00,1.0000000e-02,anti-B_s10,3.9891649e-02
27,0,0,0,150,4.5718350e-01,5.2795300e+00,0.0000000e+00,B0L,0.0000000e+00
28,0,0,-10511,-10511,0.0000000e+00,5.7380000e+00,2.0000000e-01,anti-B_0*0,1.4993444e-01
29,1,0,0,-13212,0.0000000e+00,1.6600000e+00,4.0000000e-01,anti-Sigma(1660)0,1.0000000e-01
30,1,0,5232,5232,4.2570529e-01,5.7931000e+00,0.0000000e+00,Xi_b0,0.0000000e+00
31,4,-3,-415,-415,0.0000000e+00,2.4643000e+00,3.1200000e-01,D_2*-,3.7000000e-02
32,2,-3,-10213,-10213,0.0000000e+00,1.2295000e+00,2.5000000e-01,b_1-,1.4200000e-01
33,2,0,313,313,0.0000000e+00,8.9581000e-01,2.3000000e-01,K*0,4.7400000e-02
34,2,0,0,-100313,0.0000000e+00,1.4140000e+00,6.0000000e-01,anti-K'*0,2.3200000e-01
35,1,0,0,-23122,0.0000000e+00,1.6000000e+00,2.5000000e-01,anti-Lambda(1600)0,1.5000000e-01
36,2,3,20523,20523,0.0000000e+00,5.7570000e+00,2.0000000e-01,B'_1+,2.5027080e-01
37,1,-3,15,15,8.7119688e-02,1.7768200e+00,0.0000000e+00,tau-,0.0000000e+00
38,2,0,20333,20333,0.0000000e+00,1.4264000e+00,1.0000000e-01,f'_1,5.4900000e-02
39,0,-3,0,-100411,0.0000000e+00,2.5800000e+00,0.0000000e+00,D(2S)-,0.0000000e+00
40,4,-3,-435,-435,0.0000000e+00,2.5719000e+00,6.0000000e-02,D_s2*-,1.7000000e-02
41,1,0,2112,2112,2.6552618e+14,9.3956538e-01,0.0000000e+00,n0,0.0000000e+00
42,3,3,-3314,-3314,0.0000000e+00,1.5350000e+00,5.0000000e-02,anti-Xi*+,9.9000000e-03
43,2,-3,-413,-413,0.0000000e+00,2.0102600e+00,4.0000000e-04,D*-,8.3400000e-05
44,2,3,20213,20213,0.0000000e+00,1.2300000e+00,6.0000000e-01,a_1+,4.2000000e-01
45,2,3,413,413,0.0000000e+00,2.0102600e+00,4.0000000e-04,D*+,8.3400000e-05
46,0,0,82,82,0.0000000e+00,0.0000000e+00,0.0000000e+00,rndmflav,0.0000000e+00
47,2,-4,-2203,-2203,0.0000000e+00,0.0000000e+00,0.0000000e+00,anti-uu_1,0.0000000e+00
48,1,-2,-4,-4,0.0000000e+00,1.3500000e+00,0.0000000e+00,anti-c,0.0000000e+00
49,2,0,0,9000553,0.0000000e+00,1.0876000e+01,1.6500000e+00,Upsilon(5S),5.5000000e-02
50,1,6,4422,4422,1.0000000e-01,3.5979800e+00,0.0000000e+00,Xi_cc++,0.0000000e+00
51,0,-3,-541,-541,1.3490661e-01,6.2756000e+00,0.0000000e+00,B_c-,0.0000000e+00
52,3,3,-3114,-3114,0.0000000e+00,1.3872000e+00,4.0000000e-02,anti-Sigma*+,3.9400000e-02
53,0,1,0,-87,0.0000000e+00,4.0000000e+02,0.0000000e+00,anti-b'-hadron,0.0000000e+00
54,2,0,30553,30553,0.0000000e+00,1.0163700e+01,0.0000000e+00,Upsilon_1(1D),0.0000000e+00
55,0,0,100441,100441,0.0000000e+00,3.6394000e+00,2.0000000e-02,eta_c(2S),1.1300000e-02
56,3,-3,-2214,-2214,0.0000000e+00,1.2320000e+00,1.4000000e-01,anti-Delta-,1.1700000e-01
57,0,0,-10421,-10421,0.0000000e+00,2.3180000e+00,2.9900000e-01,anti-D_0*0,2.6700000e-01
